category_id,category_name
C-01,Travel
C-02,Mystery
C-03,Historical Fiction
C-04,Sequential Art
C-05,Classics
C-06,Philosophy
C-07,Romance
C-08,Womens Fiction
C-09,Fiction
C-10,Childrens
C-11,Religion
C-12,Nonfiction
C-13,Music
C-14,Science Fiction
C-15,Sports and Games
C-16,Fantasy
C-17,New Adult
C-18,Young Adult
C-19,Science
C-20,Poetry
C-21,Paranormal
C-22,Art
C-23,Psychology
C-24,Autobiography
C-25,Parenting
C-26,Adult Fiction
C-27,Humor
C-28,Horror
C-29,History
C-30,Food and Drink
C-31,Christian Fiction
C-32,Business
C-33,Biography
C-34,Thriller
C-35,Contemporary
C-36,Spirituality
C-37,Academic
C-38,Self Help
C-39,Historical
C-40,Christian
C-41,Suspense
C-42,Short Stories
C-43,Novels
C-44,Health
C-45,Politics
C-46,Cultural
C-47,Erotica
C-48,Crime
