hold_id,user_id,book_id,library_id,hold_date,release_date
1,117,B-390,L-07,2024-06-22,2024-06-29
2,418,B-339,L-08,2024-06-28,2024-07-05
3,344,B-213,L-06,2024-05-25,2024-06-01
4,305,B-083,L-03,2024-05-25,2024-06-01
5,304,B-164,L-02,2023-06-12,2023-06-19
6,322,B-259,L-06,2024-05-18,2024-05-25
7,602,B-674,L-06,2023-12-30,2024-01-06
8,264,B-300,L-03,2023-09-25,2023-10-02
9,629,B-109,L-03,2023-08-23,2023-08-30
10,247,B-127,L-06,2023-10-06,2023-10-13
11,284,B-004,L-05,2024-04-04,2024-04-11
12,182,B-030,L-03,2024-05-10,2024-05-17
13,506,B-742,L-05,2024-04-24,2024-05-01
14,133,B-628,L-03,2024-05-28,2024-06-04
15,447,B-691,L-05,2024-06-05,2024-06-12
16,491,B-161,L-03,2023-07-08,2023-07-15
17,78,B-684,L-02,2023-06-14,2023-06-21
18,572,B-344,L-08,2024-02-01,2024-02-08
19,481,B-380,L-06,2024-06-09,2024-06-16
20,287,B-641,L-08,2023-11-18,2023-11-25
21,306,B-457,L-01,2024-04-24,2024-05-01
22,273,B-608,L-01,2023-09-17,2023-09-24
23,575,B-374,L-03,2024-03-27,2024-04-03
24,107,B-538,L-02,2024-04-22,2024-04-29
25,578,B-680,L-08,2023-09-01,2023-09-08
26,523,B-311,L-04,2023-09-29,2023-10-06
27,34,B-658,L-05,2023-11-23,2023-11-30
28,416,B-062,L-03,2024-06-20,2024-06-27
29,173,B-040,L-04,2023-06-14,2023-06-21
30,533,B-062,L-01,2023-09-26,2023-10-03
31,276,B-592,L-06,2023-10-08,2023-10-15
32,247,B-759,L-05,2024-02-15,2024-02-22
33,547,B-369,L-05,2023-09-23,2023-09-30
34,591,B-100,L-04,2023-12-19,2023-12-26
35,268,B-220,L-05,2024-04-22,2024-04-29
36,280,B-273,L-01,2024-03-25,2024-04-01
37,209,B-105,L-02,2024-01-18,2024-01-25
38,195,B-666,L-07,2023-08-21,2023-08-28
