loan_id,user_id,book_id,library_id,loan_date,due_date,return_date
1,328,B-693,L-01,2023-08-04,2023-08-18,2023-09-03
2,508,B-199,L-01,2024-04-30,2024-05-14,2024-05-20
3,269,B-303,L-06,2024-01-04,2024-01-18,2024-01-11
4,206,B-396,L-05,2023-09-09,2023-09-23,
5,487,B-117,L-05,2024-04-26,2024-05-10,2024-05-04
6,100,B-191,L-04,2023-12-28,2024-01-11,2024-01-05
7,363,B-633,L-06,2024-04-18,2024-05-02,2024-05-15
8,277,B-416,L-05,2024-06-29,2024-07-13,
9,613,B-537,L-02,2024-05-07,2024-05-21,2024-06-06
10,258,B-324,L-07,2023-09-05,2023-09-19,2023-09-12
11,347,B-472,L-04,2023-06-18,2023-07-02,
12,362,B-629,L-08,2023-08-29,2023-09-12,2023-09-20
13,445,B-051,L-08,2024-01-21,2024-02-04,2024-02-19
14,166,B-732,L-08,2024-01-19,2024-02-02,
15,224,B-163,L-06,2023-12-14,2023-12-28,2023-12-22
16,469,B-115,L-01,2023-11-10,2023-11-24,2023-11-15
17,500,B-634,L-07,2023-07-29,2023-08-12,
18,102,B-084,L-08,2024-05-02,2024-05-16,2024-05-29
19,249,B-530,L-03,2023-07-17,2023-07-31,2023-07-26
20,3,B-775,L-06,2024-06-04,2024-06-18,2024-06-15
21,439,B-591,L-03,2024-04-09,2024-04-23,2024-04-21
22,568,B-514,L-07,2024-05-15,2024-05-29,2024-05-29
23,103,B-245,L-07,2023-12-07,2023-12-21,2024-01-03
24,272,B-027,L-08,2024-04-24,2024-05-08,2024-05-02
25,87,B-190,L-04,2023-07-24,2023-08-07,2023-08-02
26,240,B-553,L-03,2024-02-17,2024-03-02,2024-03-18
27,349,B-353,L-08,2024-02-16,2024-03-01,2024-02-25
28,359,B-021,L-05,2023-09-26,2023-10-10,2023-10-23
29,568,B-477,L-04,2023-08-01,2023-08-15,2023-08-28
30,188,B-643,L-07,2023-07-23,2023-08-06,2023-08-16
