publisher_id,publisher_name
P-01,Goodman-Rivera
P-02,Johnson Group
P-03,"Snyder, Johnson and Baker"
P-04,Patterson LLC
P-05,Watts-Mora
P-06,Shields Group
P-07,"Weeks, Fowler and Burgess"
P-08,"Peterson, Grant and Gordon"
P-09,"Kim, Turner and Nelson"
P-10,Fuller-Harris
P-11,Rodriguez-Gibson
P-12,"Mejia, Richardson and Randolph"
P-13,Sullivan LLC
P-14,Mcclain Ltd
P-15,Moore Inc
P-16,Wade PLC
P-17,"Hobbs, Peterson and Flores"
P-18,Guerra LLC
P-19,Young-Hess
P-20,"Flores, Wilkins and Jacobson"
P-21,Smith-Watson
P-22,Tran-Bennett
P-23,Chavez-Tanner
P-24,Schroeder Inc
P-25,Morgan Group
P-26,"Gonzales, Day and Charles"
P-27,Villanueva LLC
P-28,"Munoz, Matthews and Johnston"
P-29,Jones-Porter
P-30,"Hale, Moore and Olson"
P-31,Tran Ltd
P-32,Garza PLC
P-33,"Smith, Brown and Hobbs"
P-34,"Thompson, Trevino and Robinson"
P-35,"Ward, Brown and Medina"
P-36,Mclaughlin-Perkins
P-37,Lara and Sons
P-38,"Kirk, Schroeder and Sutton"
P-39,Burton-James
P-40,Barnett-Williams
P-41,"Guerrero, Green and Gonzalez"
P-42,"Fox, Bartlett and Robertson"
P-43,"Gomez, Peterson and Daniels"
P-44,Bernard Ltd
P-45,"Khan, Sanford and Brown"
P-46,Page-Woods
P-47,"Waller, Martin and Thomas"
P-48,Johnson LLC
P-49,Little LLC
P-50,Lewis PLC
P-51,Reed-Bell
P-52,"Evans, Miller and Cook"
P-53,"Quinn, Schmitt and Robinson"
P-54,"Williams, Glass and Douglas"
P-55,Morrison LLC
P-56,Reyes-Gray
P-57,Shaw-Anthony
P-58,Blackburn PLC
P-59,Munoz LLC
P-60,"Herrera, Jenkins and Jones"
